title,title_ar,brand,conditions,color,price,checkout_link,descrption
mac book pro,mac book pro,apple,new,white,10,http://www.gooogle.com
mac book pro1,mac book pro2,apple,new,white,20,http://www.yahoo.com
mac book pro2,mac book pro3,apple,new,white,10,http://www.gooogle.com
mac book pro3,mac book pro4,apple,new,white,20,http://www.yahoo.com
mac book pro4,mac book pro5,apple,new,white,10,http://www.gooogle.com
mac book pro5,mac book pro6,apple,new,white,20,http://www.yahoo.com
mac book pro6,mac book pro7,apple,new,white,10,http://www.gooogle.com
mac book pro7,mac book pro8,apple,new,white,20,http://www.yahoo.com
mac book pro8,mac book pro9,apple,new,white,10,http://www.gooogle.com
mac book pro9,mac book pro10,apple,new,white,20,http://www.yahoo.com
mac book pro-10,mac book pro11,apple,new,white,10,http://www.gooogle.com
mac book pro-11,mac book pro12,apple,new,white,20,http://www.yahoo.com
mac book pro-12,mac book pro13,apple,new,white,10,http://www.gooogle.com
mac book pro-13,mac book pro14,apple,new,white,20,http://www.yahoo.com
